X,Y,OBJECTID,COUNTY,LATITUDE,LONGITUDE,TYPE,OWNER,OPERATOR,PARKING,NAME,MUNICIPALITY,TICKET_SELLER,ORIG_FID,SE_ANNO_CAD_DATA
197294.4163,223931.668199999,1,"New York, NY",40.84899937,-73.93909912,Terminal,Port Authority of NY & NJ,Port Authority of NY & NJ,No,George Washington Bridge,New York,NJ Transit,,
169557.1756,231962.9245,2,Passaic,40.92245642,-74.26779934,Park/Ride,NJ DOT,NJ Transit,Yes,Mothers Park & Ride,Wayne Twp,None,,
186926.5668,210784.5195,3,Hudson,40.73113371,-74.06283274,Terminal,Port Authority of NY & NJ,Port Authority of NY & NJ,No,Journal Square,Jersey City,None,,
178440.7591,211144.784399999,4,Essex,40.73471494,-74.1632765,Terminal,NJ Transit,NJ Transit,No,Newark Penn Station,Newark,NJ Transit & Greyhound,,
173049.1769,210205.907099999,5,Essex,40.72642812,-74.22714374,Terminal,NJ Transit,NJ Transit,Yes,Irvington Bus Terminal,Irvington Twp,Contracted Ticket Agent,,
177416.8845,231559.646,6,Passaic,40.91859903,-74.17450074,Terminal,NJ Transit,NJ Transit,No,Broadway Bus Terminal,Paterson,Contracted Ticket Agent,,
189781.1162,211294.3731,7,Hudson,40.73559233,-74.02900689,Terminal,NJ Transit,NJ Transit,No,Hoboken Bus Terminal,Hoboken,NJ Transit,,
188584.9992,215813.888499999,8,Hudson,40.77635034,-74.04288932,Park/Ride,Port Authority of NY & NJ,NJ Transit,Yes,North Bergen Park & Ride,North Bergen Twp,NJ Transit,,
167024.2093,179047.733899999,9,Middlesex,40.44596016,-74.2993074,Park/Ride,NJ Transit,NJ Transit,Yes,Old Bridge Park & Ride,Old Bridge Twp,NJ Transit,,
155342.2559,245701.7884,10,Passaic,41.04639884,-74.43645297,Park/Ride,Town of West Milford,Town of West Milford,Yes,Newfoundland Park & Ride,West Milford Twp,None,,
192794.0514,213710.4889,11,"New York, NY",40.75719979,-73.99317101,Terminal,Port Authority of NY & NJ,Port Authority of NY & NJ,No,Port Authority Bus Terminal,New York,NJ Transit,,
177376.1052,224393.9835,12,Passaic,40.85406952,-74.17530044,Park/Ride,NJ Highway Authority,NJ Transit,Yes,Allwood Road Park & Ride,Clifton,None,,
170540.7324,229568.671,13,Passaic,40.90087064,-74.25620097,Park/Ride,NJ Transit,NJ Transit,Yes,Wayne Transportation Center,Wayne Twp,None,,
97169.5760000004,123427.873500001,14,Camden,39.94352944,-75.11821851,Terminal,NJ Transit,NJ Transit,Yes,Walter Rand Transportation Center,Camden,NJ Transit & Greyhound,,
109226.0481,97618.1961000003,15,Camden,39.71172669,-74.97553419,Park/Ride,NJ Transit,NJ Transit,Yes,Avandale Park & Ride,Winslow Twp,Contracted Ticket Agent,,
124009.3245,140657.456,16,Burlington,40.09996454,-74.80483753,Park/Ride,NJ Transit,NJ Transit,Yes,Florence Park & Ride,Florence Twp,NJ Transit,,
162833.6744,257237.748299999,17,Passaic,41.15020062,-74.34710079,Park/Ride,West Milford,NJ Transit,Yes,West Millford Park & Ride,West Milford Twp,None,,
188574.0029,227542.724400001,18,Bergen,40.88197508,-74.04229387,Terminal,NJ Transit,NJ Transit,No,Hackensack Bus Terminal,Hackensack,Contracted Ticket Agent,,
170549.9701,152983.391799999,19,Monmouth,40.21113186,-74.2585816,Park/Ride,NJ Transit,NJ Transit,Yes,Howell Park & Ride,Howell Twp,None,,
170343.3697,227861.3486,20,Passaic,40.88550006,-74.25859935,Park/Ride,Willowbrook Mall,NJ Transit,Yes,Willowbrook Mall,Wayne Twp,None,,
143200.7027,49473.2916999999,21,Cape May,39.2789901,-74.57880816,Terminal,NJ Transit,City of Ocean City,Yes,Ocean City Bus Terminal,Ocean City,Contracted Ticket Agent,,
104047.7558,72720.3071999997,22,Cumberland,39.48720015,-75.03419902,Terminal,Frank Guaracini Jr. Transportation Co.,NJ Transit,Yes,Vineland Bus Terminal,Vineland,Contracted Ticket Agent,,
155424.9134,58509.5177999996,23,Atlantic,39.3603995,-74.43704889,Terminal,NJ Transit,NJ Transit,No,Atlantic City Bus Terminal,Atlantic City,NJ Transit & Greyhound,,
189767.8235,221421.151699999,24,Bergen,40.82679043,-74.02851984,Park/Ride,NJ Turnpike,NJ Transit,Yes,Vince Lombardi Park & Ride,Ridgefield,NJ Transit,,
174507.1366,139635.0451,25,Ocean,40.09080034,-74.21260102,Terminal,NJ Transit,NJ Transit,No,Lakewood Bus Terminal,Lakewood,NJ Transit,,
122030.6699,17032.6931999996,26,Cape May,38.98633073,-74.82284286,Terminal,NJ Transit,NJ Transit,Yes,Wildwood Bus Terminal,Wildwood,NJ Transit,,
113353.0911,11381.2905000001,27,Cape May,38.93510014,-74.9227011,Terminal,City of Cape May,City of Cape May,No,Cape May Bus Terminal,Cape May,None,,
134671.2205,192638.155099999,28,Somerset,40.56839204,-74.68103467,Park/Ride,NJ DOT,Trans-Bridge,Yes,Branchburg Park & Ride,Branchburg Twp,None,,
176909.9731,172374.656500001,29,Monmouth,40.38559928,-74.18305101,Park/Ride,NJ Highway Authority,Academy,Yes,PNC Arts Center,Holmdel Twp,None,,
166619.443,167174.342800001,30,Monmouth,40.33903143,-74.30438869,Park/Ride,Marlboro,NJ Transit,Yes,Union Hill Park & Ride,Marlboro Twp,NJ Transit,,
183979.5682,239678.3649,31,Bergen,40.99146497,-74.09614347,Terminal,NJ DOT,NJ Transit,Yes,Ridgewood Bus Terminal,Ridgewood,None,,
173242.4908,146897.8884,32,Monmouth,40.1562512,-74.22717019,Park/Ride,Howell,NJ Transit,Yes,Aldrich Park & Ride,Howell Twp,None,,
186542.3522,236636.8884,33,Bergen,40.96396479,-74.0658645,Park/Ride,NJ DOT,NJ Transit,Yes,Garden State Parkway Exit 165 Park & Ride,Paramus,None,,
140251.9739,242291.5349,34,Sussex,41.0156471,-74.61590046,Park/Ride,NJ DOT,Lakeland,Yes,Sparta Park & Ride,Sparta Twp,None,,
116677.1061,200556.1216,35,Hunterdon,40.63917234,-74.89396223,Park/Ride,NJ DOT/Transbridge,Trans-Bridge,Yes,Clinton Park & Ride,Clinton,Transbridge,,
163366.1393,90828.6941,36,Ocean,39.65143899,-74.34424998,Park/Ride,Ocean County,NJ Transit,Yes,Southern Ocean County Park & Ride,Little Egg Harbor Twp,None,,
163507.3734,268079.012800001,37,"Orange, NY",41.24781732,-74.33883513,Park/Ride,Warwick,NJ Transit,Yes,Warwick Park & Ride,Warwick,None,,
180597.4798,221575.2225,38,Passaic,40.82857101,-74.13723183,Park/Ride,Clifton Commons,NJ Transit,Yes,Clifton Commons,Clifton,None,,
167108.8343,265366.593699999,39,"Orange, NY",41.22332352,-74.29594006,Park/Ride,Greenwood Lake,NJ Transit,Yes,Greenwood Lake Park & Ride,Greenwood Lake,None,,
130760.7073,38693.0130000003,40,Cape May,39.18169204,-74.72268777,Park/Ride,Garden State Parkway,NJ Transit,Yes,Ocean View Park & Ride,Dennis Twp,None,,
181408.6493,225393.7795,41,Passaic,40.86292871,-74.12742214,Terminal,Passaic,NJ Transit,Yes,Passaic Main Avenue Bus Terminal,Passaic,None,,
180661.6337,140539.4923,42,Ocean,40.09874494,-74.14038461,Park/Ride,NJ Highway Authority,NJ Transit,Yes,Brick Park & Ride,Brick Twp,None,,
169637.7286,250426.243100001,43,Passaic,41.08872503,-74.26625617,Park/Ride,Ringwood,NJ Transit,Yes,Ringwood Park & Ride,Ringwood,None,,
